filename,wellID,counts
data/assayplate_3765/AssayPlate_Corning_3765_J10_T0001F001L01A01Z01C01.tif,J10,713
data/assayplate_3765/AssayPlate_Corning_3765_E04_T0001F001L01A01Z01C01.tif,E04,735
data/assayplate_3765/AssayPlate_Corning_3765_A12_T0001F001L01A01Z01C01.tif,A12,1020
data/assayplate_3765/AssayPlate_Corning_3765_B20_T0001F001L01A01Z01C01.tif,B20,1176
data/assayplate_3765/AssayPlate_Corning_3765_L18_T0001F001L01A01Z01C01.tif,L18,949
data/assayplate_3765/AssayPlate_Corning_3765_N01_T0001F001L01A01Z01C01.tif,N01,897
data/assayplate_3765/AssayPlate_Corning_3765_A14_T0001F001L01A01Z01C01.tif,A14,1029
data/assayplate_3765/AssayPlate_Corning_3765_J01_T0001F001L01A01Z01C01.tif,J01,1175
data/assayplate_3765/AssayPlate_Corning_3765_A04_T0001F001L01A01Z01C01.tif,A04,1150
data/assayplate_3765/AssayPlate_Corning_3765_O01_T0001F001L01A01Z01C01.tif,O01,683
data/assayplate_3765/AssayPlate_Corning_3765_D04_T0001F001L01A01Z01C01.tif,D04,699
data/assayplate_3765/AssayPlate_Corning_3765_L13_T0001F001L01A01Z01C01.tif,L13,1063
data/assayplate_3765/AssayPlate_Corning_3765_J22_T0001F001L01A01Z01C01.tif,J22,771
data/assayplate_3765/AssayPlate_Corning_3765_L04_T0001F001L01A01Z01C01.tif,L04,642
data/assayplate_3765/AssayPlate_Corning_3765_B14_T0001F001L01A01Z01C01.tif,B14,1103
data/assayplate_3765/AssayPlate_Corning_3765_H04_T0001F001L01A01Z01C01.tif,H04,513
data/assayplate_3765/AssayPlate_Corning_3765_I09_T0001F001L01A01Z01C01.tif,I09,1098
data/assayplate_3765/AssayPlate_Corning_3765_B22_T0001F001L01A01Z01C01.tif,B22,723
data/assayplate_3765/AssayPlate_Corning_3765_I02_T0001F001L01A01Z01C01.tif,I02,889
data/assayplate_3765/AssayPlate_Corning_3765_B05_T0001F001L01A01Z01C01.tif,B05,1100
data/assayplate_3765/AssayPlate_Corning_3765_H07_T0001F001L01A01Z01C01.tif,H07,1323
data/assayplate_3765/AssayPlate_Corning_3765_N17_T0001F001L01A01Z01C01.tif,N17,913
data/assayplate_3765/AssayPlate_Corning_3765_P03_T0001F001L01A01Z01C01.tif,P03,486
data/assayplate_3765/AssayPlate_Corning_3765_N22_T0001F001L01A01Z01C01.tif,N22,355
data/assayplate_3765/AssayPlate_Corning_3765_A13_T0001F001L01A01Z01C01.tif,A13,1100
data/assayplate_3765/AssayPlate_Corning_3765_E16_T0001F001L01A01Z01C01.tif,E16,1362
data/assayplate_3765/AssayPlate_Corning_3765_H03_T0001F001L01A01Z01C01.tif,H03,622
data/assayplate_3765/AssayPlate_Corning_3765_F03_T0001F001L01A01Z01C01.tif,F03,671
data/assayplate_3765/AssayPlate_Corning_3765_F22_T0001F001L01A01Z01C01.tif,F22,908
data/assayplate_3765/AssayPlate_Corning_3765_K08_T0001F001L01A01Z01C01.tif,K08,1029
data/assayplate_3765/AssayPlate_Corning_3765_D18_T0001F001L01A01Z01C01.tif,D18,1334
data/assayplate_3765/AssayPlate_Corning_3765_P09_T0001F001L01A01Z01C01.tif,P09,525
data/assayplate_3765/AssayPlate_Corning_3765_H12_T0001F001L01A01Z01C01.tif,H12,883
data/assayplate_3765/AssayPlate_Corning_3765_D03_T0001F001L01A01Z01C01.tif,D03,778
data/assayplate_3765/AssayPlate_Corning_3765_I20_T0001F001L01A01Z01C01.tif,I20,582
data/assayplate_3765/AssayPlate_Corning_3765_P17_T0001F001L01A01Z01C01.tif,P17,785
data/assayplate_3765/AssayPlate_Corning_3765_F02_T0001F001L01A01Z01C01.tif,F02,834
data/assayplate_3765/AssayPlate_Corning_3765_J21_T0001F001L01A01Z01C01.tif,J21,559
data/assayplate_3765/AssayPlate_Corning_3765_O04_T0001F001L01A01Z01C01.tif,O04,378
data/assayplate_3765/AssayPlate_Corning_3765_N20_T0001F001L01A01Z01C01.tif,N20,283
data/assayplate_3765/AssayPlate_Corning_3765_L07_T0001F001L01A01Z01C01.tif,L07,915
data/assayplate_3765/AssayPlate_Corning_3765_O12_T0001F001L01A01Z01C01.tif,O12,399
data/assayplate_3765/AssayPlate_Corning_3765_E01_T0001F001L01A01Z01C01.tif,E01,1159
data/assayplate_3765/AssayPlate_Corning_3765_C22_T0001F001L01A01Z01C01.tif,C22,948
data/assayplate_3765/AssayPlate_Corning_3765_L15_T0001F001L01A01Z01C01.tif,L15,677
data/assayplate_3765/AssayPlate_Corning_3765_C04_T0001F001L01A01Z01C01.tif,C04,875
data/assayplate_3765/AssayPlate_Corning_3765_I21_T0001F001L01A01Z01C01.tif,I21,652
data/assayplate_3765/AssayPlate_Corning_3765_D22_T0001F001L01A01Z01C01.tif,D22,834
data/assayplate_3765/AssayPlate_Corning_3765_N19_T0001F001L01A01Z01C01.tif,N19,456
data/assayplate_3765/AssayPlate_Corning_3765_B23_T0001F001L01A01Z01C01.tif,B23,663
data/assayplate_3765/AssayPlate_Corning_3765_D09_T0001F001L01A01Z01C01.tif,D09,1230
data/assayplate_3765/AssayPlate_Corning_3765_L21_T0001F001L01A01Z01C01.tif,L21,576
data/assayplate_3765/AssayPlate_Corning_3765_O15_T0001F001L01A01Z01C01.tif,O15,514
data/assayplate_3765/AssayPlate_Corning_3765_L08_T0001F001L01A01Z01C01.tif,L08,935
data/assayplate_3765/AssayPlate_Corning_3765_O02_T0001F001L01A01Z01C01.tif,O02,494
data/assayplate_3765/AssayPlate_Corning_3765_D17_T0001F001L01A01Z01C01.tif,D17,1388
data/assayplate_3765/AssayPlate_Corning_3765_K21_T0001F001L01A01Z01C01.tif,K21,616
data/assayplate_3765/AssayPlate_Corning_3765_N08_T0001F001L01A01Z01C01.tif,N08,1074
data/assayplate_3765/AssayPlate_Corning_3765_E24_T0001F001L01A01Z01C01.tif,E24,1110
data/assayplate_3765/AssayPlate_Corning_3765_F10_T0001F001L01A01Z01C01.tif,F10,1053
data/assayplate_3765/AssayPlate_Corning_3765_H11_T0001F001L01A01Z01C01.tif,H11,744
data/assayplate_3765/AssayPlate_Corning_3765_C16_T0001F001L01A01Z01C01.tif,C16,1330
data/assayplate_3765/AssayPlate_Corning_3765_I01_T0001F001L01A01Z01C01.tif,I01,1061
data/assayplate_3765/AssayPlate_Corning_3765_G22_T0001F001L01A01Z01C01.tif,G22,1296
data/assayplate_3765/AssayPlate_Corning_3765_O03_T0001F001L01A01Z01C01.tif,O03,513
data/assayplate_3765/AssayPlate_Corning_3765_P07_T0001F001L01A01Z01C01.tif,P07,811
data/assayplate_3765/AssayPlate_Corning_3765_I11_T0001F001L01A01Z01C01.tif,I11,575
data/assayplate_3765/AssayPlate_Corning_3765_O09_T0001F001L01A01Z01C01.tif,O09,834
data/assayplate_3765/AssayPlate_Corning_3765_F04_T0001F001L01A01Z01C01.tif,F04,599
data/assayplate_3765/AssayPlate_Corning_3765_P14_T0001F001L01A01Z01C01.tif,P14,174
data/assayplate_3765/AssayPlate_Corning_3765_I13_T0001F001L01A01Z01C01.tif,I13,1037
data/assayplate_3765/AssayPlate_Corning_3765_H17_T0001F001L01A01Z01C01.tif,H17,1331
data/assayplate_3765/AssayPlate_Corning_3765_D08_T0001F001L01A01Z01C01.tif,D08,1427
data/assayplate_3765/AssayPlate_Corning_3765_H13_T0001F001L01A01Z01C01.tif,H13,921
data/assayplate_3765/AssayPlate_Corning_3765_G12_T0001F001L01A01Z01C01.tif,G12,922
data/assayplate_3765/AssayPlate_Corning_3765_A24_T0001F001L01A01Z01C01.tif,A24,263
data/assayplate_3765/AssayPlate_Corning_3765_C03_T0001F001L01A01Z01C01.tif,C03,713
data/assayplate_3765/AssayPlate_Corning_3765_M02_T0001F001L01A01Z01C01.tif,M02,861
data/assayplate_3765/AssayPlate_Corning_3765_O20_T0001F001L01A01Z01C01.tif,O20,423
data/assayplate_3765/AssayPlate_Corning_3765_G11_T0001F001L01A01Z01C01.tif,G11,727
data/assayplate_3765/AssayPlate_Corning_3765_H06_T0001F001L01A01Z01C01.tif,H06,963
data/assayplate_3765/AssayPlate_Corning_3765_B15_T0001F001L01A01Z01C01.tif,B15,1296
data/assayplate_3765/AssayPlate_Corning_3765_O14_T0001F001L01A01Z01C01.tif,O14,480
data/assayplate_3765/AssayPlate_Corning_3765_F20_T0001F001L01A01Z01C01.tif,F20,965
data/assayplate_3765/AssayPlate_Corning_3765_O18_T0001F001L01A01Z01C01.tif,O18,1137
data/assayplate_3765/AssayPlate_Corning_3765_E08_T0001F001L01A01Z01C01.tif,E08,1364
