filename,wellID,counts,well,wellNum
data/assayplate_3765/AssayPlate_Corning_3765_C20_T0001F001L01A01Z01C01.tif,C20,1077,C,20
data/assayplate_3765/AssayPlate_Corning_3765_C17_T0001F001L01A01Z01C01.tif,C17,1299,C,17
data/assayplate_3765/AssayPlate_Corning_3765_C01_T0001F001L01A01Z01C01.tif,C01,1669,C,01
data/assayplate_3765/AssayPlate_Corning_3765_C11_T0001F001L01A01Z01C01.tif,C11,1195,C,11
data/assayplate_3765/AssayPlate_Corning_3765_C22_T0001F001L01A01Z01C01.tif,C22,948,C,22
data/assayplate_3765/AssayPlate_Corning_3765_C02_T0001F001L01A01Z01C01.tif,C02,1288,C,02
data/assayplate_3765/AssayPlate_Corning_3765_C24_T0001F001L01A01Z01C01.tif,C24,873,C,24
data/assayplate_3765/AssayPlate_Corning_3765_C12_T0001F001L01A01Z01C01.tif,C12,1291,C,12
data/assayplate_3765/AssayPlate_Corning_3765_C14_T0001F001L01A01Z01C01.tif,C14,1139,C,14
data/assayplate_3765/AssayPlate_Corning_3765_C03_T0001F001L01A01Z01C01.tif,C03,713,C,03
data/assayplate_3765/AssayPlate_Corning_3765_C21_T0001F001L01A01Z01C01.tif,C21,978,C,21
data/assayplate_3765/AssayPlate_Corning_3765_C13_T0001F001L01A01Z01C01.tif,C13,1268,C,13
data/assayplate_3765/AssayPlate_Corning_3765_C23_T0001F001L01A01Z01C01.tif,C23,927,C,23
data/assayplate_3765/AssayPlate_Corning_3765_C18_T0001F001L01A01Z01C01.tif,C18,1439,C,18
data/assayplate_3765/AssayPlate_Corning_3765_D02_T0001F001L01A01Z01C01.tif,D02,870,D,02
data/assayplate_3765/AssayPlate_Corning_3765_D11_T0001F001L01A01Z01C01.tif,D11,1173,D,11
data/assayplate_3765/AssayPlate_Corning_3765_D07_T0001F001L01A01Z01C01.tif,D07,1311,D,07
data/assayplate_3765/AssayPlate_Corning_3765_D05_T0001F001L01A01Z01C01.tif,D05,896,D,05
data/assayplate_3765/AssayPlate_Corning_3765_D09_T0001F001L01A01Z01C01.tif,D09,1230,D,09
data/assayplate_3765/AssayPlate_Corning_3765_D18_T0001F001L01A01Z01C01.tif,D18,1334,D,18
data/assayplate_3765/AssayPlate_Corning_3765_D03_T0001F001L01A01Z01C01.tif,D03,778,D,03
data/assayplate_3765/AssayPlate_Corning_3765_D22_T0001F001L01A01Z01C01.tif,D22,834,D,22
data/assayplate_3765/AssayPlate_Corning_3765_D10_T0001F001L01A01Z01C01.tif,D10,1186,D,10
data/assayplate_3765/AssayPlate_Corning_3765_D17_T0001F001L01A01Z01C01.tif,D17,1388,D,17
data/assayplate_3765/AssayPlate_Corning_3765_D08_T0001F001L01A01Z01C01.tif,D08,1427,D,08
data/assayplate_3765/AssayPlate_Corning_3765_D12_T0001F001L01A01Z01C01.tif,D12,1208,D,12
